PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
584,1,male,36,0,0,Regular,40.125,A10,C,0
476,1,male,,0,0,Regular,52,A14,S,0
557,1,female,48,1,0,Regular,39.6,A16,C,1
285,1,male,,0,0,Regular,26,A19,S,0
600,1,male,49,1,0,SuperFancy,56.9292,A20,C,1
631,1,male,80,0,0,Regular,30,A23,S,1
868,1,male,31,0,0,SuperFancy,50.4958,A24,S,0
648,1,male,56,0,0,Regular,35.5,A26,C,1
210,1,male,40,0,0,Regular,31,A31,C,1
186,1,male,,0,0,Regular,50,A32,S,0
446,1,male,4,0,2,Regular,81.8583,A34,S,1
807,1,male,39,0,0,Regular,0,A36,S,0
97,1,male,71,0,0,SuperFancy,34.6542,A5,C,0
24,1,male,28,0,0,Regular,35.5,A6,S,1
175,1,male,56,0,0,Regular,30.6958,A7,C,0
738,1,male,35,0,0,SuperFancy,512.3292,B101,C,1
816,1,male,,0,0,Regular,0,B102,S,0
330,1,female,16,0,1,Regular,57.9792,B18,C,1
524,1,female,44,0,1,Regular,57.9792,B18,C,1
171,1,male,61,0,0,Regular,33.5,B19,S,0
691,1,male,31,1,0,Regular,57,B20,S,1
782,1,female,17,1,0,Regular,57,B20,S,1
541,1,female,36,0,2,FancyUltraMaxPro,71,B22,S,1
746,1,male,70,1,1,FancyUltraMaxPro,71,B22,S,0
62,1,female,38,0,0,Regular,80,B28,,1
830,1,female,62,0,0,Regular,80,B28,,1
780,1,female,43,0,1,Regular,211.3375,B3,S,1
55,1,male,65,0,1,Regular,61.9792,B30,C,0
370,1,female,24,0,0,SuperFancy,69.3,B35,C,1
642,1,female,24,0,0,SuperFancy,69.3,B35,C,1
488,1,male,58,0,0,Regular,29.7,B37,C,0
537,1,male,45,0,0,Regular,26.55,B38,S,0
540,1,female,22,0,2,Regular,49.5,B39,C,1
195,1,female,44,0,0,SuperFancy,27.7208,B4,C,1
588,1,male,60,1,1,Regular,79.2,B41,C,1
888,1,female,19,0,0,Regular,30,B42,S,1
292,1,female,19,1,0,Regular,91.0792,B49,C,1
485,1,male,25,1,0,Regular,91.0792,B49,C,1
690,1,female,15,0,1,Regular,211.3375,B5,S,1
731,1,female,29,0,0,Regular,211.3375,B5,S,1
633,1,male,32,0,0,Regular,30.5,B50,C,1
873,1,male,33,0,0,Regular,5,B51 B53 B55,S,0
680,1,male,36,0,1,SuperFancy,512.3292,B51 B53 B55,C,1
312,1,female,18,2,2,SuperFancy,262.375,B57 B59 B63 B66,C,1
743,1,female,21,2,2,SuperFancy,262.375,B57 B59 B63 B66,C,1
119,1,male,24,0,1,SuperFancy,247.5208,B58 B60,C,0
300,1,female,50,0,1,SuperFancy,247.5208,B58 B60,C,1
821,1,female,52,1,1,Regular,93.5,B69,S,1
672,1,male,31,1,0,Fancy,52,B71,S,0
521,1,female,30,0,0,Regular,93.5,B73,S,1
258,1,female,30,0,0,Regular,86.5,B77,S,1
760,1,female,33,0,0,Regular,86.5,B77,S,1
32,1,female,,1,0,SuperFancy,146.5208,B78,C,1
505,1,female,16,0,0,Regular,86.5,B79,S,1
196,1,female,58,0,0,SuperFancy,146.5208,B80,C,1
790,1,male,46,0,0,SuperFancy,79.2,B82 B84,C,0
140,1,male,24,0,0,SuperFancy,79.2,B86,C,0
264,1,male,40,0,0,Regular,0,B94,S,0
391,1,male,36,1,2,Regular,120,B96 B98,S,1
436,1,female,14,1,2,Regular,120,B96 B98,S,1
764,1,female,36,1,2,Regular,120,B96 B98,S,1
803,1,male,11,1,2,Regular,120,B96 B98,S,1
572,1,female,53,2,0,Regular,51.4792,C101,S,1
12,1,female,58,0,0,Regular,26.55,C103,S,1
450,1,male,52,0,0,Regular,30.5,C104,S,1
299,1,male,,0,0,Regular,30.5,C106,S,1
111,1,male,47,0,0,Regular,52,C110,S,0
453,1,male,30,0,0,Regular,27.75,C111,C,0
274,1,male,37,0,1,SuperFancy,29.7,C118,C,0
4,1,female,35,1,0,Regular,53.1,C123,S,1
138,1,male,37,1,0,Regular,53.1,C123,S,0
712,1,male,,0,0,Regular,26.55,C124,S,0
332,1,male,45.5,0,0,Regular,28.5,C124,S,0
269,1,female,58,0,1,SuperFancy,153.4625,C125,S,1
610,1,female,40,0,0,SuperFancy,153.4625,C125,S,1
670,1,female,,1,0,Regular,52,C126,S,1
713,1,male,48,1,0,Regular,52,C126,S,1
352,1,male,,0,0,Regular,35,C128,S,0
890,1,male,26,0,0,Regular,30,C148,C,1
152,1,female,22,1,0,Regular,66.6,C2,S,1
337,1,male,29,1,0,Regular,66.6,C2,S,0
298,1,female,2,1,2,Regular,151.55,C22 C26,S,0
306,1,male,0.92,1,2,Regular,151.55,C22 C26,S,1
499,1,female,25,1,2,Regular,151.55,C22 C26,S,0
28,1,male,19,3,2,Regular,263,C23 C25 C27,S,0
89,1,female,23,3,2,Regular,263,C23 C25 C27,S,1
342,1,female,24,3,2,Regular,263,C23 C25 C27,S,1
439,1,male,64,1,4,Regular,263,C23 C25 C27,S,0
493,1,male,55,0,0,Regular,30.5,C30,S,0
326,1,female,36,0,0,SuperFancy,135.6333,C32,C,1
717,1,female,38,0,0,SuperFancy,227.525,C45,C,1
742,1,male,36,1,0,Regular,78.85,C46,S,0
840,1,male,,0,0,Regular,29.7,C47,C,1
178,1,female,50,0,0,SuperFancy,28.7125,C49,C,0
880,1,female,56,0,1,Regular,83.1583,C50,C,1
56,1,male,,0,0,Regular,35.5,C52,S,1
431,1,male,28,0,0,Regular,26.55,C52,S,1
311,1,female,24,0,0,Regular,83.1583,C54,C,1
701,1,female,18,1,0,SuperFancy,227.525,C62 C64,C,1
308,1,female,17,1,0,SuperFancy,108.9,C65,C,1
506,1,male,18,1,0,SuperFancy,108.9,C65,C,0
582,1,female,39,1,1,Regular,110.8833,C68,C,1
699,1,male,49,1,1,Regular,110.8833,C68,C,0
319,1,female,31,0,2,Regular,164.8667,C7,S,1
551,1,male,17,0,2,Regular,110.8833,C70,C,1
246,1,male,44,2,0,Regular,90,C78,Q,0
413,1,female,33,1,0,Regular,90,C78,Q,1
378,1,male,27,0,2,Regular,211.5,C82,C,0
63,1,male,45,1,0,Regular,83.475,C83,S,0
231,1,female,35,1,0,Regular,83.475,C83,S,1
2,1,female,38,1,0,SuperFancy,71.2833,C85,C,1
545,1,male,50,1,0,SuperFancy,106.425,C86,C,0
253,1,male,62,0,0,Regular,26.55,C87,S,0
711,1,female,24,0,0,SuperFancy,49.5042,C90,C,1
333,1,male,38,0,1,SuperFancy,153.4625,C91,S,0
454,1,male,49,1,0,Regular,89.1042,C92,C,1
850,1,female,,1,0,Regular,89.1042,C92,C,1
225,1,male,38,1,0,Regular,90,C93,S,1
487,1,female,35,1,0,Regular,90,C93,S,1
528,1,male,,0,0,SuperFancy,221.7792,C95,S,0
270,1,female,35,0,0,SuperFancy,135.6333,C99,S,1
328,2,female,36,0,0,Regular,13,D,S,1
474,2,female,23,0,0,FancyUltra,13.7917,D,C,1
293,2,male,36,0,0,FancyUltra,12.875,D,C,0
98,1,male,23,0,1,SuperFancy,63.3583,D10 D12,C,1
766,1,female,51,1,0,Regular,77.9583,D11,S,1
219,1,female,32,0,0,Regular,76.2917,D15,C,1
797,1,female,49,0,0,Regular,25.9292,D17,S,1
863,1,female,48,0,0,Regular,25.9292,D17,S,1
622,1,male,42,1,0,Regular,52.5542,D19,S,1
497,1,female,54,1,0,Regular,78.2667,D20,C,1
592,1,female,52,1,0,Regular,78.2667,D20,C,1
458,1,female,,1,0,Regular,51.8625,D21,S,1
103,1,male,21,0,1,Regular,77.2875,D26,S,0
125,1,male,54,0,1,Regular,77.2875,D26,S,0
854,1,female,16,0,1,SuperFancy,39.4,D28,S,1
749,1,male,19,1,0,Regular,53.1,D30,S,0
53,1,female,49,1,0,SuperFancy,76.7292,D33,C,1
646,1,male,48,1,0,SuperFancy,76.7292,D33,C,1
249,1,male,37,1,1,Regular,52.5542,D35,S,1
872,1,female,47,1,1,Regular,52.5542,D35,S,1
216,1,female,31,1,0,Regular,113.275,D36,C,1
394,1,female,23,1,0,Regular,113.275,D36,C,1
367,1,female,60,1,0,Regular,75.25,D37,C,1
741,1,male,,0,0,Regular,30,D45,S,1
516,1,male,47,0,0,Regular,34.0208,D46,S,0
137,1,female,19,0,2,Regular,26.2833,D47,S,1
660,1,male,58,0,2,Regular,113.275,D48,C,0
682,1,male,27,0,0,SuperFancy,76.7292,D49,C,1
626,1,male,61,0,0,Regular,32.3208,D50,S,0
22,2,male,34,0,0,Regular,13,D56,S,1
783,1,male,29,0,0,Regular,30,D6,S,0
276,1,female,63,1,0,Regular,77.9583,D7,S,1
628,1,female,21,0,0,Regular,77.9583,D9,S,1
430,3,male,32,0,0,FancyUltraMax,8.05,E10,S,1
124,2,female,32.5,0,0,Regular,13,E101,S,1
718,2,female,27,0,0,Regular,10.5,E101,S,1
304,2,female,,0,0,Regular,12.35,E101,Q,1
461,1,male,48,0,0,Regular,26.55,E12,S,1
752,3,male,6,0,1,Regular,12.475,E121,S,1
824,3,female,27,0,1,Regular,12.475,E121,S,1
858,1,male,51,0,0,Regular,26.55,E17,S,1
702,1,male,35,0,0,SuperFancy,26.2875,E24,S,1
708,1,male,42,0,0,SuperFancy,26.2875,E24,S,1
513,1,male,36,0,0,SuperFancy,26.2875,E25,S,1
573,1,male,36,0,0,SuperFancy,26.3875,E25,S,1
93,1,male,46,1,0,FancyUltraMaxPro,61.175,E31,S,0
167,1,female,,0,1,Regular,55,E33,S,1
357,1,female,22,0,1,Regular,55,E33,S,1
320,1,female,40,1,1,Regular,134.5,E34,C,1
310,1,female,30,0,0,SuperFancy,56.9292,E36,C,1
457,1,male,65,0,0,Regular,26.55,E38,S,0
338,1,female,41,0,0,Regular,134.5,E40,C,1
435,1,male,50,1,0,Regular,55.9,E44,S,0
578,1,female,39,1,0,Regular,55.9,E44,S,1
7,1,male,54,0,0,Regular,51.8625,E46,S,0
836,1,female,39,1,1,SuperFancy,83.1583,E49,C,1
371,1,male,25,1,0,Regular,55.4417,E50,C,1
663,1,male,47,0,0,Regular,25.5875,E58,S,0
463,1,male,47,0,0,Regular,38.5,E63,S,0
263,1,male,52,1,1,Regular,79.65,E67,S,0
559,1,female,39,1,1,Regular,79.65,E67,S,1
586,1,female,18,0,2,Regular,79.65,E68,S,1
773,2,female,57,0,0,FancyUltra,10.5,E77,S,0
725,1,male,27,1,0,Regular,53.1,E8,S,1
810,1,female,33,1,0,Regular,53.1,E8,S,1
129,3,female,,1,1,Regular,22.3583,F E69,C,1
700,3,male,42,0,0,Regular,7.65,F G63,S,0
76,3,male,25,0,0,Regular,7.65,F G73,S,0
716,3,male,19,0,0,Regular,7.65,F G73,S,0
149,2,male,36.5,0,2,Regular,26,F2,S,0
194,2,male,3,1,1,Regular,26,F2,S,1
341,2,male,2,1,1,Regular,26,F2,S,1
346,2,female,24,0,0,Regular,13,F33,S,1
67,2,female,29,0,0,Upper,10.5,F33,S,1
517,2,female,34,0,0,Upper,10.5,F33,S,1
777,3,male,,0,0,Regular,7.75,F38,Q,0
184,2,male,1,2,1,Regular,39,F4,S,1
619,2,female,4,2,1,Regular,39,F4,S,1
206,3,female,2,0,1,Regular,10.4625,G6,S,0
252,3,female,29,1,1,Regular,10.4625,G6,S,0
11,3,female,4,1,1,SuperFancy,16.7,G6,S,1
395,3,female,24,0,2,SuperFancy,16.7,G6,S,1
340,1,male,45,0,0,Regular,35.5,T,S,0
546,1,male,64,0,0,Regular,26,,S,0
75,3,male,32,0,0,Regular,56.4958,,S,1
170,3,male,28,0,0,Regular,56.4958,,S,0
510,3,male,26,0,0,Regular,56.4958,,S,1
644,3,male,,0,0,Regular,56.4958,,S,1
693,3,male,,0,0,Regular,56.4958,,S,1
827,3,male,,0,0,Regular,56.4958,,S,0
839,3,male,32,0,0,Regular,56.4958,,S,1
427,2,female,28,1,0,Regular,26,,S,1
835,3,male,18,0,0,Regular,8.3,,S,0
554,3,male,22,0,0,Regular,7.225,,C,1
662,3,male,40,0,0,Regular,7.225,,C,0
523,3,male,,0,0,Regular,7.225,,C,0
804,3,male,0.42,0,1,Regular,8.5167,,C,1
368,3,female,,0,0,Regular,7.2292,,C,1
115,3,female,17,0,0,Regular,14.4583,,C,0
496,3,male,,0,0,Regular,14.4583,,C,0
204,3,male,45.5,0,0,Regular,7.225,,C,0
